10,0.054
9.5,0.051
9,0.048
8.5,0.045
8,0.042
7.5,0.039
7,0.036
6.5,0.033
6,0.03
5.5,0.027
5,0.024
4.5,0.021
4,0.018
3.5,0.014
3,0.0087
2.5,0
